0,1,2,session,policy_area,party,state
0.023,0.047,0.0431,114,Labor and Employment,Republican,TN
0.1434,0.047,0.1154,114,Health,Republican,TN
0.1434,0.047,0.1154,114,Health,Republican,TN
0.1434,0.047,0.1154,114,Health,Republican,TN
0.1038,0.047,0.0895,114,Economics and Public Finance,Republican,TN
0.023,0.047,0.0431,114,Labor and Employment,Republican,TN
0.0572,0.047,0.0609,114,Energy,Republican,TN
0.1434,0.047,0.1154,114,Health,Republican,TN
0.3641,0.107,0.2886,114,Government Operations and Politics,Republican,TN
0.023,0.047,0.0431,114,Labor and Employment,Republican,TN
0.0572,0.047,0.0609,114,Energy,Republican,TN
0.1434,0.047,0.1154,114,Health,Republican,TN
0.163,0.047,0.1254,114,Public Lands and Natural Resources,Republican,TN
0.0572,0.047,0.0609,114,Energy,Republican,TN
0.0297,0.047,0.0475,114,Education,Republican,TN
0.023,0.047,0.0431,114,Labor and Employment,Republican,TN
0,0.047,0.0093,114,Labor and Employment,Republican,TN
0,0.107,0.0783,114,Government Operations and Politics,Republican,TN
0,0.107,0.0783,114,Government Operations and Politics,Republican,TN
0,0.047,0.0093,114,Labor and Employment,Republican,TN
0.0704,0.04,0.0557,115,Public Lands and Natural Resources,Republican,TN
0.0091,0.04,0.0182,115,Labor and Employment,Republican,TN
0.084,0.04,0.0661,115,Transportation and Public Works,Republican,TN
0.0704,0.04,0.0557,115,Public Lands and Natural Resources,Republican,TN
0.0431,0.04,0.0389,115,Economics and Public Finance,Republican,TN
0.0118,0.04,0.0201,115,Education,Republican,TN
0.1822,0.0918,0.1431,115,Government Operations and Politics,Republican,TN
0,0.0286,0.0139,115,Taxation,Republican,TN
0.0611,0.04,0.0509,115,Health,Republican,TN
0.0704,0.04,0.0557,115,Public Lands and Natural Resources,Republican,TN
0.0704,0.04,0.0557,115,Public Lands and Natural Resources,Republican,TN
0.1409,0.0844,0.1659,115,Education,Republican,TN
0,0.0229,0.0044,113,Animals,Republican,NH
0.0317,0.0247,0.0317,113,International Affairs,Republican,NH
0.0238,0.0229,0.0224,113,Transportation and Public Works,Republican,NH
0.0304,0.0229,0.0277,113,Armed Forces and National Security,Republican,NH
0.025,0.0229,0.0237,113,"Science, Technology, Communications",Republican,NH
0.0118,0.0229,0.0129,113,Economics and Public Finance,Republican,NH
0.0118,0.0229,0.0129,113,Economics and Public Finance,Republican,NH
0.0118,0.0229,0.0129,113,Economics and Public Finance,Republican,NH
0,0.0163,0.0046,113,Taxation,Republican,NH
0.0238,0.0229,0.0224,113,Transportation and Public Works,Republican,NH
0.0238,0.0229,0.0224,113,Transportation and Public Works,Republican,NH
0.0304,0.0229,0.0277,113,Armed Forces and National Security,Republican,NH
0.0197,0.0229,0.0188,113,Public Lands and Natural Resources,Republican,NH
0.0558,0.0538,0.0513,113,Government Operations and Politics,Republican,NH
0,0.0163,0.0046,113,Taxation,Republican,NH
0,0.0163,0.0046,113,Taxation,Republican,NH
0.017,0.0229,0.0171,113,Health,Republican,NH
0.0304,0.0229,0.0277,113,Armed Forces and National Security,Republican,NH
0.0317,0.0247,0.0317,113,International Affairs,Republican,NH
0.017,0.0229,0.0171,113,Health,Republican,NH
0.0118,0.0229,0.0129,113,Economics and Public Finance,Republican,NH
0.0024,0.0229,0.006,113,Labor and Employment,Republican,NH
0.0317,0.0247,0.0317,113,International Affairs,Republican,NH
0,0.0163,0.0046,113,Taxation,Republican,NH
0,0.0163,0.0046,113,Taxation,Republican,NH
0.0558,0.0538,0.0513,113,Government Operations and Politics,Republican,NH
0.0304,0.0229,0.0277,113,Armed Forces and National Security,Republican,NH
0,0.0163,0.0046,113,Taxation,Republican,NH
0.0558,0.0538,0.0513,113,Government Operations and Politics,Republican,NH
0.0304,0.0229,0.0277,113,Armed Forces and National Security,Republican,NH
0,0.0163,0.0046,113,Taxation,Republican,NH
0,0.0241,0.0065,114,Animals,Republican,NH
0.0277,0.0241,0.0249,114,Health,Republican,NH
0.0386,0.0241,0.0326,114,Transportation and Public Works,Republican,NH
0.0277,0.0241,0.0249,114,Health,Republican,NH
0.0413,0.0241,0.036,114,Crime and Law Enforcement,Republican,NH
0.0491,0.0241,0.0401,114,Armed Forces and National Security,Republican,NH
0,0.0172,0.0067,114,Taxation,Republican,NH
0.0277,0.0241,0.0249,114,Health,Republican,NH
0.004,0.0241,0.0087,114,Labor and Employment,Republican,NH
0.0413,0.0241,0.036,114,Crime and Law Enforcement,Republican,NH
0.0321,0.0241,0.0273,114,Public Lands and Natural Resources,Republican,NH
0.0386,0.0241,0.0326,114,Transportation and Public Works,Republican,NH
0.004,0.0241,0.0087,114,Labor and Employment,Republican,NH
0,0.0172,0.0067,114,Taxation,Republican,NH
0.0277,0.0241,0.0249,114,Health,Republican,NH
0.0512,0.0261,0.0458,114,International Affairs,Republican,NH
0.0413,0.0241,0.036,114,Crime and Law Enforcement,Republican,NH
0.0512,0.0261,0.0458,114,International Affairs,Republican,NH
0.0512,0.0261,0.0458,114,International Affairs,Republican,NH
0.0491,0.0241,0.0401,114,Armed Forces and National Security,Republican,NH
0.004,0.0241,0.0087,114,Labor and Employment,Republican,NH
0,0.0172,0.0067,114,Taxation,Republican,NH
0,0.0172,0.0067,114,Taxation,Republican,NH
0.0077,0.0241,0.0112,114,Finance and Financial Sector,Republican,NH
0.0277,0.0241,0.0249,114,Health,Republican,NH
0,0.0172,0.0067,114,Taxation,Republican,NH
0,0.0172,0.0067,114,Taxation,Republican,NH
0.0893,0.0241,0.0747,114,Emergency Management,Republican,NH
0.0491,0.0241,0.0401,114,Armed Forces and National Security,Republican,NH
0,0.0172,0.0067,114,Taxation,Republican,NH
0.0193,0.0241,0.0189,114,Economics and Public Finance,Republican,NH
0.0215,0.0241,0.0203,114,Commerce,Republican,NH
0.0491,0.0241,0.0401,114,Armed Forces and National Security,Republican,NH
0.0277,0.0241,0.0249,114,Health,Republican,NH
0.0405,0.0241,0.0344,114,"Science, Technology, Communications",Republican,NH
0.0888,0.0567,0.0737,114,Government Operations and Politics,Republican,NH
0.004,0.0241,0.0087,114,Labor and Employment,Republican,NH
0,0.0172,0.0067,114,Taxation,Republican,NH
0,0.0241,0.0066,114,Foreign Trade and International Finance,Republican,NH
0.0017,0.0229,0.0041,113,Education,Democratic,MT
0.0109,0.0229,0.0118,113,Public Lands and Natural Resources,Democratic,MT
0,0.0229,0.0028,113,Foreign Trade and International Finance,Democratic,MT
0,0.0229,0.0028,113,Foreign Trade and International Finance,Democratic,MT
0,0.0163,0.0028,113,Taxation,Democratic,MT
0.0038,0.0229,0.0092,113,Agriculture and Food,Democratic,MT
0.0039,0.0229,0.0058,113,Social Welfare,Democratic,MT
0.0093,0.0229,0.0107,113,Health,Democratic,MT
0.0039,0.0229,0.0058,113,Social Welfare,Democratic,MT
0.0039,0.0229,0.0058,113,Social Welfare,Democratic,MT
0.0039,0.0229,0.0058,113,Social Welfare,Democratic,MT
0,0.0229,0.0028,113,Foreign Trade and International Finance,Democratic,MT
0.005,0.0229,0.0068,113,Water Resources Development,Democratic,MT
0.005,0.0229,0.0068,113,Water Resources Development,Democratic,MT
0.0093,0.0229,0.0107,113,Health,Democratic,MT
0.0109,0.0229,0.0118,113,Public Lands and Natural Resources,Democratic,MT
0.0109,0.0229,0.0118,113,Public Lands and Natural Resources,Democratic,MT
0.0109,0.0229,0.0118,113,Public Lands and Natural Resources,Democratic,MT
0.0168,0.0229,0.0174,113,Armed Forces and National Security,Democratic,MT
0,0.0163,0.0028,113,Taxation,Democratic,MT
0.0361,0.0252,0.0341,113,Native Americans,Democratic,MT
0,0.0163,0.0028,113,Taxation,Democratic,MT
0,0.0229,0.0028,113,Foreign Trade and International Finance,Democratic,MT
0.005,0.0229,0.0068,113,Water Resources Development,Democratic,MT
0.0038,0.0229,0.0092,113,Agriculture and Food,Democratic,MT
0.0168,0.0229,0.0174,113,Armed Forces and National Security,Democratic,MT
0.0603,0.0538,0.0631,113,Government Operations and Politics,Democratic,MT
0.0325,0.0229,0.0319,113,Health,Republican,MO
0.015,0.0229,0.0184,113,Environmental Protection,Republican,MO
0.103,0.0538,0.0929,113,Government Operations and Politics,Republican,MO
0.103,0.0538,0.0929,113,Government Operations and Politics,Republican,MO
0.0452,0.0229,0.0416,113,Transportation and Public Works,Republican,MO
0.0325,0.0229,0.0319,113,Health,Republican,MO
0.0858,0.0229,0.0812,113,"Arts, Culture, Religion",Republican,MO
0.0047,0.0229,0.0112,113,Labor and Employment,Republican,MO
0.103,0.0538,0.0929,113,Government Operations and Politics,Republican,MO
0.012,0.0229,0.0161,113,Energy,Republican,MO
0.103,0.0538,0.0929,113,Government Operations and Politics,Republican,MO
0,0.0163,0.0086,113,Taxation,Republican,MO
0.0573,0.0229,0.0511,113,Armed Forces and National Security,Republican,MO
0.0091,0.0229,0.0144,113,Finance and Financial Sector,Republican,MO
0.0598,0.0247,0.0583,113,International Affairs,Republican,MO
0.103,0.0538,0.0929,113,Government Operations and Politics,Republican,MO
0.0325,0.0229,0.0319,113,Health,Republican,MO
0.0325,0.0229,0.0319,113,Health,Republican,MO
0.1592,0.0567,0.1309,114,Government Operations and Politics,Republican,MO
0.1592,0.0567,0.1309,114,Government Operations and Politics,Republican,MO
0.0757,0.0241,0.0632,114,"Science, Technology, Communications",Republican,MO
0.0524,0.0241,0.0462,114,Health,Republican,MO
0,0.0172,0.0126,114,Taxation,Republican,MO
0.0723,0.0241,0.06,114,Transportation and Public Works,Republican,MO
0.0772,0.0241,0.0661,114,Crime and Law Enforcement,Republican,MO
0.041,0.0241,0.0377,114,Commerce,Republican,MO
0.0949,0.0261,0.0834,114,International Affairs,Republican,MO
0.0369,0.0241,0.0352,114,Economics and Public Finance,Republican,MO
0.0911,0.0241,0.0734,114,Armed Forces and National Security,Republican,MO
0.2264,0.0283,0.1822,114,Congress,Republican,MO
0.0224,0.0241,0.0256,114,Social Welfare,Republican,MO
0.0524,0.0241,0.0462,114,Health,Republican,MO
0.0911,0.0241,0.0734,114,Armed Forces and National Security,Republican,MO
0.0911,0.0241,0.0734,114,Armed Forces and National Security,Republican,MO
0.0244,0.0241,0.0268,114,Environmental Protection,Republican,MO
0.0911,0.0241,0.0734,114,Armed Forces and National Security,Republican,MO
0.0148,0.0241,0.021,114,Finance and Financial Sector,Republican,MO
0.2264,0.0283,0.1822,114,Congress,Republican,MO
0.1592,0.0567,0.1309,114,Government Operations and Politics,Republican,MO
0.0524,0.0241,0.0462,114,Health,Republican,MO
0.1592,0.0567,0.1309,114,Government Operations and Politics,Republican,MO
0.0605,0.0241,0.0505,114,Public Lands and Natural Resources,Republican,MO
0.0369,0.0241,0.0352,114,Economics and Public Finance,Republican,MO
0.0949,0.0261,0.0834,114,International Affairs,Republican,MO
0.0911,0.0241,0.0734,114,Armed Forces and National Security,Republican,MO
0,0.0241,0.0124,114,Foreign Trade and International Finance,Republican,MO
0.1592,0.0567,0.1309,114,Government Operations and Politics,Republican,MO
0,0.0172,0.0126,114,Taxation,Republican,MO
0,0.0172,0.0126,114,Taxation,Republican,MO
0.0723,0.0241,0.06,114,Transportation and Public Works,Republican,MO
0.0723,0.0241,0.06,114,Transportation and Public Works,Republican,MO
0,0.0172,0.0126,114,Taxation,Republican,MO
0.0524,0.0241,0.0462,114,Health,Republican,MO
0.0375,0.0204,0.0316,115,Armed Forces and National Security,Republican,MO
0,0.0146,0.0052,115,Taxation,Republican,MO
0.0392,0.0221,0.0361,115,International Affairs,Republican,MO
0.0392,0.0221,0.0361,115,International Affairs,Republican,MO
0.0097,0.0204,0.0112,115,Environmental Protection,Republican,MO
0.0294,0.0204,0.0256,115,Transportation and Public Works,Republican,MO
0.0244,0.0204,0.0214,115,Public Lands and Natural Resources,Republican,MO
0.0099,0.0204,0.0116,115,Housing and Community Development,Republican,MO
0.0244,0.0204,0.0214,115,Public Lands and Natural Resources,Republican,MO
0,0.0146,0.0052,115,Taxation,Republican,MO
0.0315,0.0204,0.0283,115,Crime and Law Enforcement,Republican,MO
0.0039,0.0204,0.0076,115,Education,Republican,MO
0,0.0204,0.0051,115,Foreign Trade and International Finance,Republican,MO
0.0147,0.0204,0.0148,115,Economics and Public Finance,Republican,MO
0.069,0.0204,0.0592,115,Emergency Management,Republican,MO
0.0686,0.0483,0.0584,115,Government Operations and Politics,Republican,MO
0.0211,0.0204,0.0195,115,Health,Republican,MO
0.0211,0.0204,0.0195,115,Health,Republican,MO
0.0164,0.0204,0.0159,115,Commerce,Republican,MO
0,0.0146,0.0052,115,Taxation,Republican,MO
0.0375,0.0204,0.0316,115,Armed Forces and National Security,Republican,MO
0.0088,0.0204,0.0107,115,Social Welfare,Republican,MO
0.0211,0.0204,0.0195,115,Health,Republican,MO
0.0294,0.0204,0.0256,115,Transportation and Public Works,Republican,MO
0.0375,0.0204,0.0316,115,Armed Forces and National Security,Republican,MO
0.0211,0.0204,0.0195,115,Health,Republican,MO
0.137,0.0268,0.101,113,Congress,Democratic,CA
0.0538,0.0247,0.0439,113,International Affairs,Democratic,CA
0.0931,0.0538,0.0706,113,Government Operations and Politics,Democratic,CA
0.0538,0.0247,0.0439,113,International Affairs,Democratic,CA
0.0434,0.0229,0.0344,113,Crime and Law Enforcement,Democratic,CA
0.0516,0.0229,0.0384,113,Armed Forces and National Security,Democratic,CA
0.1064,0.0252,0.0735,113,Native Americans,Democratic,CA
0.0291,0.0229,0.0238,113,Health,Democratic,CA
0.0516,0.0229,0.0384,113,Armed Forces and National Security,Democratic,CA
0.0434,0.0229,0.0344,113,Crime and Law Enforcement,Democratic,CA
0,0.0229,0.0062,113,Animals,Democratic,CA
0.0434,0.0229,0.0344,113,Crime and Law Enforcement,Democratic,CA
0.0434,0.0229,0.0344,113,Crime and Law Enforcement,Democratic,CA
0.0204,0.0229,0.0181,113,Economics and Public Finance,Democratic,CA
0.0516,0.0229,0.0384,113,Armed Forces and National Security,Democratic,CA
0.0406,0.0229,0.0312,113,Transportation and Public Works,Democratic,CA
0.0361,0.0229,0.028,113,Immigration,Democratic,CA
0.0538,0.0247,0.0439,113,International Affairs,Democratic,CA
0.0931,0.0538,0.0706,113,Government Operations and Politics,Democratic,CA
0.0227,0.0229,0.0194,113,Commerce,Democratic,CA
0.0291,0.0229,0.0238,113,Health,Democratic,CA
0.0538,0.0247,0.0439,113,International Affairs,Democratic,CA
0.0406,0.0229,0.0312,113,Transportation and Public Works,Democratic,CA
0.0108,0.0229,0.012,113,Energy,Democratic,CA
0.0434,0.0229,0.0344,113,Crime and Law Enforcement,Democratic,CA
0.0123,0.0229,0.013,113,Social Welfare,Democratic,CA
0.0538,0.0247,0.0439,113,International Affairs,Democratic,CA
0.0055,0.0229,0.0092,113,Education,Democratic,CA
0.0516,0.0229,0.0384,113,Armed Forces and National Security,Democratic,CA
0.0134,0.0229,0.0137,113,Environmental Protection,Democratic,CA
0.0291,0.0229,0.0238,113,Health,Democratic,CA
0.1064,0.0252,0.0735,113,Native Americans,Democratic,CA
0.0338,0.0229,0.0261,113,Public Lands and Natural Resources,Democratic,CA
0.0134,0.0229,0.0137,113,Environmental Protection,Democratic,CA
0.0055,0.0229,0.0092,113,Education,Democratic,CA
0.0291,0.0229,0.0238,113,Health,Democratic,CA
0.0108,0.0229,0.012,113,Energy,Democratic,CA
0.0538,0.0247,0.0439,113,International Affairs,Democratic,CA
0.0338,0.0229,0.0261,113,Public Lands and Natural Resources,Democratic,CA
0.0134,0.0229,0.0137,113,Environmental Protection,Democratic,CA
0.0134,0.0229,0.0137,113,Environmental Protection,Democratic,CA
0.0108,0.0229,0.012,113,Energy,Democratic,CA
0.0134,0.0229,0.0137,113,Environmental Protection,Democratic,CA
0.0931,0.0538,0.0706,113,Government Operations and Politics,Democratic,CA
0,0.0163,0.0064,113,Taxation,Democratic,CA
0.0204,0.0229,0.0181,113,Economics and Public Finance,Democratic,CA
0.0931,0.0538,0.0706,113,Government Operations and Politics,Democratic,CA
0.0338,0.0229,0.0261,113,Public Lands and Natural Resources,Democratic,CA
0.0338,0.0229,0.0261,113,Public Lands and Natural Resources,Democratic,CA
0.0157,0.0229,0.0153,113,Water Resources Development,Democratic,CA
0.0338,0.0229,0.0261,113,Public Lands and Natural Resources,Democratic,CA
0,0.0163,0.0064,113,Taxation,Democratic,CA
0.0291,0.0229,0.0238,113,Health,Democratic,CA
0.0338,0.0229,0.0261,113,Public Lands and Natural Resources,Democratic,CA
0.0291,0.0229,0.0238,113,Health,Democratic,CA
0.0506,0.0229,0.0436,114,Armed Forces and National Security,Democratic,CA
0.0398,0.0229,0.0354,114,Transportation and Public Works,Democratic,CA
0.0331,0.0229,0.0297,114,Public Lands and Natural Resources,Democratic,CA
0.0426,0.0229,0.0391,114,Crime and Law Enforcement,Democratic,CA
0.0398,0.0229,0.0354,114,Transportation and Public Works,Democratic,CA
0.1045,0.0252,0.083,114,Native Americans,Democratic,CA
0.0132,0.0229,0.0156,114,Environmental Protection,Democratic,CA
0.1045,0.0252,0.083,114,Native Americans,Democratic,CA
0.1045,0.0252,0.083,114,Native Americans,Democratic,CA
0.0154,0.0229,0.0174,114,Water Resources Development,Democratic,CA
0.0331,0.0229,0.0297,114,Public Lands and Natural Resources,Democratic,CA
0.0426,0.0229,0.0391,114,Crime and Law Enforcement,Democratic,CA
0.1045,0.0252,0.083,114,Native Americans,Democratic,CA
0.0054,0.0229,0.0105,114,Education,Democratic,CA
0.012,0.0229,0.0149,114,Social Welfare,Democratic,CA
0.0915,0.0538,0.0797,114,Government Operations and Politics,Democratic,CA
0.0223,0.0229,0.0221,114,Commerce,Democratic,CA
0.0106,0.0229,0.0137,114,Energy,Democratic,CA
0.0426,0.0229,0.0391,114,Crime and Law Enforcement,Democratic,CA
0.0286,0.0229,0.0271,114,Health,Democratic,CA
0.0286,0.0229,0.0271,114,Health,Democratic,CA
0.0506,0.0229,0.0436,114,Armed Forces and National Security,Democratic,CA
0.0529,0.0247,0.0497,114,International Affairs,Democratic,CA
0.0331,0.0229,0.0297,114,Public Lands and Natural Resources,Democratic,CA
0.0506,0.0229,0.0436,114,Armed Forces and National Security,Democratic,CA
0.0331,0.0229,0.0297,114,Public Lands and Natural Resources,Democratic,CA
0.092,0.0229,0.0809,114,Emergency Management,Democratic,CA
0.0132,0.0229,0.0156,114,Environmental Protection,Democratic,CA
0.0054,0.0229,0.0105,114,Education,Democratic,CA
0.0286,0.0229,0.0271,114,Health,Democratic,CA
0.0529,0.0247,0.0497,114,International Affairs,Democratic,CA
0.0132,0.0229,0.0156,114,Environmental Protection,Democratic,CA
0.0132,0.0229,0.0156,114,Environmental Protection,Democratic,CA
0.0331,0.0229,0.0297,114,Public Lands and Natural Resources,Democratic,CA
0.0331,0.0229,0.0297,114,Public Lands and Natural Resources,Democratic,CA
0.0223,0.0229,0.0221,114,Commerce,Democratic,CA
0,0.0163,0.0073,114,Taxation,Democratic,CA
0.0054,0.0229,0.0105,114,Education,Democratic,CA
0.0286,0.0229,0.0271,114,Health,Democratic,CA
0.0331,0.0229,0.0297,114,Public Lands and Natural Resources,Democratic,CA
0.0529,0.0247,0.0497,114,International Affairs,Democratic,CA
0.0529,0.0247,0.0497,114,International Affairs,Democratic,CA
0.0054,0.0229,0.0105,114,Education,Democratic,CA
0.0529,0.0247,0.0497,114,International Affairs,Democratic,CA
0.0132,0.0229,0.0156,114,Environmental Protection,Democratic,CA
0.0286,0.0229,0.0271,114,Health,Democratic,CA
0.0106,0.0229,0.0137,114,Energy,Democratic,CA
0,0.0538,0.0178,114,Government Operations and Politics,Democratic,CA
0.0391,0.0229,0.0311,113,Transportation and Public Works,Democratic,OH
0.0281,0.0229,0.0238,113,Health,Democratic,OH
0,0.0229,0.0063,113,Foreign Trade and International Finance,Democratic,OH
0.0899,0.0538,0.0704,113,Government Operations and Politics,Democratic,OH
0.004,0.0229,0.0083,113,Labor and Employment,Democratic,OH
0.0355,0.0229,0.0265,113,"Civil Rights and Liberties, Minority Issues",Democratic,OH
0.0151,0.0229,0.0152,113,Water Resources Development,Democratic,OH
0.0053,0.0229,0.0092,113,Education,Democratic,OH
0.0497,0.0229,0.0383,113,Armed Forces and National Security,Democratic,OH
0.0325,0.0229,0.0261,113,Public Lands and Natural Resources,Democratic,OH
0,0.0163,0.0064,113,Taxation,Democratic,OH
0.0078,0.0229,0.0107,113,Finance and Financial Sector,Democratic,OH
0.0218,0.0229,0.0193,113,Commerce,Democratic,OH
0.0497,0.0229,0.0383,113,Armed Forces and National Security,Democratic,OH
0.0497,0.0229,0.0383,113,Armed Forces and National Security,Democratic,OH
0,0.0163,0.0064,113,Taxation,Democratic,OH
0,0.0163,0.0064,113,Taxation,Democratic,OH
0.0078,0.0229,0.0107,113,Finance and Financial Sector,Democratic,OH
0.0497,0.0229,0.0383,113,Armed Forces and National Security,Democratic,OH
0,0.0163,0.0064,113,Taxation,Democratic,OH
0.0899,0.0538,0.0704,113,Government Operations and Politics,Democratic,OH
0.0899,0.0538,0.0704,113,Government Operations and Politics,Democratic,OH
0.0281,0.0229,0.0238,113,Health,Democratic,OH
0.0118,0.0229,0.013,113,Social Welfare,Democratic,OH
0.0281,0.0229,0.0238,113,Health,Democratic,OH
0.0899,0.0538,0.0704,113,Government Operations and Politics,Democratic,OH
0.0899,0.0538,0.0704,113,Government Operations and Politics,Democratic,OH
0.0281,0.0229,0.0238,113,Health,Democratic,OH
0.0497,0.0229,0.0383,113,Armed Forces and National Security,Democratic,OH
0.0419,0.0229,0.0344,113,Crime and Law Enforcement,Democratic,OH
0.0281,0.0229,0.0238,113,Health,Democratic,OH
0.0325,0.0229,0.0261,113,Public Lands and Natural Resources,Democratic,OH
0.0281,0.0229,0.0238,113,Health,Democratic,OH
0.0497,0.0229,0.0383,113,Armed Forces and National Security,Democratic,OH
0.0391,0.0229,0.0311,113,Transportation and Public Works,Democratic,OH
0.0281,0.0229,0.0238,113,Health,Democratic,OH
0,0.0163,0.0064,113,Taxation,Democratic,OH
0.0129,0.0229,0.0136,113,Environmental Protection,Democratic,OH
0.0129,0.0229,0.0136,113,Environmental Protection,Democratic,OH
0.0419,0.0229,0.0344,113,Crime and Law Enforcement,Democratic,OH
0,0.0163,0.0064,113,Taxation,Democratic,OH
0.0899,0.0538,0.0704,113,Government Operations and Politics,Democratic,OH
0.0519,0.0247,0.0438,113,International Affairs,Democratic,OH
0.0391,0.0229,0.0311,113,Transportation and Public Works,Democratic,OH
0,0.0229,0.0063,113,Foreign Trade and International Finance,Democratic,OH
0,0.0229,0.0063,113,Foreign Trade and International Finance,Democratic,OH
0.0129,0.0229,0.0136,113,Environmental Protection,Democratic,OH
0.0325,0.0229,0.0261,113,Public Lands and Natural Resources,Democratic,OH
0.0497,0.0229,0.0383,113,Armed Forces and National Security,Democratic,OH
0.0281,0.0229,0.0238,113,Health,Democratic,OH
0.0497,0.0229,0.0383,113,Armed Forces and National Security,Democratic,OH
0.0497,0.0229,0.0383,113,Armed Forces and National Security,Democratic,OH
0.0281,0.0229,0.0238,113,Health,Democratic,OH
0,0.0229,0.0064,113,Private Legislation,Democratic,OH
0.0078,0.0229,0.0107,113,Finance and Financial Sector,Democratic,OH
0.0115,0.0229,0.0204,113,Agriculture and Food,Democratic,OH
0.0391,0.0229,0.0311,113,Transportation and Public Works,Democratic,OH
0.0078,0.0229,0.0107,113,Finance and Financial Sector,Democratic,OH
0,0.0163,0.0064,113,Taxation,Democratic,OH
0,0.0163,0.0072,114,Taxation,Democratic,OH
0.0488,0.0229,0.0434,114,Armed Forces and National Security,Democratic,OH
0.0488,0.0229,0.0434,114,Armed Forces and National Security,Democratic,OH
0.0488,0.0229,0.0434,114,Armed Forces and National Security,Democratic,OH
0.0116,0.0229,0.0148,114,Social Welfare,Democratic,OH
0.0488,0.0229,0.0434,114,Armed Forces and National Security,Democratic,OH
0.0076,0.0229,0.0122,114,Finance and Financial Sector,Democratic,OH
0.0116,0.0229,0.0148,114,Social Welfare,Democratic,OH
0.0384,0.0229,0.0353,114,Transportation and Public Works,Democratic,OH
0.0052,0.0229,0.0105,114,Education,Democratic,OH
0.0052,0.0229,0.0105,114,Education,Democratic,OH
0.0384,0.0229,0.0353,114,Transportation and Public Works,Democratic,OH
0,0.0163,0.0072,114,Taxation,Democratic,OH
0.0076,0.0229,0.0122,114,Finance and Financial Sector,Democratic,OH
0.0052,0.0229,0.0105,114,Education,Democratic,OH
0.0052,0.0229,0.0105,114,Education,Democratic,OH
0.0488,0.0229,0.0434,114,Armed Forces and National Security,Democratic,OH
0,0.0163,0.0072,114,Taxation,Democratic,OH
0,0.0163,0.0072,114,Taxation,Democratic,OH
0.0488,0.0229,0.0434,114,Armed Forces and National Security,Democratic,OH
0.0275,0.0229,0.027,114,Health,Democratic,OH
0,0.0163,0.0072,114,Taxation,Democratic,OH
0.0319,0.0229,0.0296,114,Public Lands and Natural Resources,Democratic,OH
0.0127,0.0229,0.0155,114,Environmental Protection,Democratic,OH
0.0275,0.0229,0.027,114,Health,Democratic,OH
0.0275,0.0229,0.027,114,Health,Democratic,OH
0.0127,0.0229,0.0155,114,Environmental Protection,Democratic,OH
0.0275,0.0229,0.027,114,Health,Democratic,OH
0.0275,0.0229,0.027,114,Health,Democratic,OH
0.0488,0.0229,0.0434,114,Armed Forces and National Security,Democratic,OH
0,0.0163,0.0072,114,Taxation,Democratic,OH
0.004,0.0229,0.0095,114,Labor and Employment,Democratic,OH
